Name,Description
Clearcut harvesting with salvage,Applies to areas where clearcut logging occurs. Salvage moves 50% of stem snags to the forest products sector.
Clearcut harvesting without salvage,"Same as the default Clearcut harvesting disturbance type, except all snags are transferred to the Medium pool"
Clear-cut with slash-burn,"Applies to areas that were clearcut and slash–burned in the same year. It is assumed that this will remain as ""forestry"" land use."
Deforestation,"The conversion of forested land to a nonforest land use, for example, forest to agricultural land."
"Deforestation — Agriculture — Salvage, uprooting and burn","Deforestation — Agriculture — Salvage, uprooting and burn 1"
"Deforestation — Agriculture — Salvage, uprooting and decay","Deforestation — Agriculture — Salvage, uprooting and decay 1"
"Deforestation — Forestry — Salvage, uprooting and burn","Deforestation — Forestry — Salvage, uprooting and burn 1"
"Deforestation — Forestry — Salvage, uprooting and decay","Deforestation — Forestry — Salvage, uprooting and decay 1"
Deforestation — Hydro — Right-of-way — Salvage and burn,Deforestation — Hydro — Right-of-way — Salvage and burn 1
Deforestation — Hydro — Right-of-way — Salvage and decay,Deforestation — Hydro — Right-of-way — Salvage and decay 1
Deforestation — Hydro reservoir — Burn,Deforestation — Hydro reservoir — Burn 1
Deforestation — Hydro reservoir — No salvage or burn,Deforestation — Hydro reservoir — No salvage or burn 1
Deforestation — Hydro reservoir — salvage and burn,Deforestation — Hydro reservoir — salvage and burn 1
Deforestation — Hydro reservoir — Salvage and decay,Deforestation — Hydro reservoir — Salvage and decay 1
"Deforestation — Industry — Salvage, uprooting and burn","Deforestation — Industry — Salvage, uprooting and burn 1"
"Deforestation — Industry — Salvage, uprooting and decay","Deforestation — Industry — Salvage, uprooting and decay 1"
"Deforestation — Mining — Salvage, uprooting and burn","Deforestation — Mining — Salvage, uprooting and burn 1"
"Deforestation — Mining — Salvage, uprooting and decay","Deforestation — Mining — Salvage, uprooting and decay 1"
"Deforestation — Municipal — Salvage, uprooting and burn","Deforestation — Municipal — Salvage, uprooting and burn 1"
"Deforestation — Municipal — Salvage, uprooting and decay","Deforestation — Municipal — Salvage, uprooting and decay 1"
Deforestation — Oil and gas — Salvage and burn,Deforestation — Oil and gas — Salvage and burn 1
Deforestation — Oil and gas — Salvage and decay,Deforestation — Oil and gas — Salvage and decay 1
"Deforestation — Oil and gas — Salvage, uprooting and burn","Deforestation — Oil and gas — Salvage, uprooting and burn 1"
"Deforestation — Oil and gas — Salvage, uprooting and decay","Deforestation — Oil and gas — Salvage, uprooting and decay 1"
Deforestation — Peat mining — Uprooting and burn,Deforestation — Peat mining — Uprooting and burn 1
Deforestation — Peat mining — Uprooting and decay,Deforestation — Peat mining — Uprooting and decay 1
Deforestation — Recreation — Salvage and burn,Deforestation — Recreation — Salvage and burn 1
Deforestation — Recreation — Salvage and decay,Deforestation — Recreation — Salvage and decay 1
"Deforestation — Recreation — Salvage, uprooting and burn","Deforestation — Recreation — Salvage, uprooting and burn 1"
"Deforestation — Recreation — Salvage, uprooting and decay","Deforestation — Recreation — Salvage, uprooting and decay 1"
"Deforestation — Transportation — Salvage, uprooting and burn","Deforestation — Transportation — Salvage, uprooting and burn 1"
"Deforestation — Transportation — Salvage, uprooting and decay","Deforestation — Transportation — Salvage, uprooting and decay 1"
Eastern hemlock looper — Light defoliation,Eastern hemlock looper — Light defoliation 1
Eastern hemlock looper — Moderate defoliation,Eastern hemlock looper — Moderate defoliation 1
Eastern hemlock looper — Severe cumulative defoliation,Eastern hemlock looper — Severe cumulative defoliation 1
Eastern hemlock looper — Severe defoliation,Eastern hemlock looper — Severe defoliation 1
Fire with salvage logging,"Applies to areas where a non stand–replacing fire occurred followed by salvage logging. This sequence of events is assumed to have occurred in the same year. Also, it is assumed that this will remain as ""forestry"" land use."
Firewood Collection - HW,HW firewood collection from small private woodlots- live biomass
Firewood Collection - post logging,Firewood collection from DOM following commercial logging
Firewood Collection - post natural disturbance,Firewood collection from DOM following natural disturbance
Firewood Collection - SW,SW firewood collection from small private woodlots-live biomass
Generic 10% mortality,This disturbance type can be used to simulate a 10% reduction in biomass carbon. The carbon removed from the biomass pool is transferred to the respective DOM pools.
Generic 15% mortality,This disturbance type can be used to simulate a 15% reduction in biomass carbon. The carbon removed from the biomass pool is transferred to the respective DOM pools.
Generic 20% mortality,This disturbance type can be used to simulate a 20% reduction in biomass carbon. The carbon removed from the biomass pool is transferred to the respective DOM pools.
Generic 25% mortality,This disturbance type can be used to simulate a 25% reduction in biomass carbon. The carbon removed from the biomass pool is transferred to the respective DOM pools.
Generic 30% mortality,This disturbance type can be used to simulate a 30% reduction in biomass carbon. The carbon removed from the biomass pool is transferred to the respective DOM pools.
Generic 35% mortality,This disturbance type can be used to simulate a 35% reduction in biomass carbon. The carbon removed from the biomass pool is transferred to the respective DOM pools.
Generic 40% mortality,This disturbance type can be used to simulate a 40% reduction in biomass carbon. The carbon removed from the biomass pool is transferred to the respective DOM pools.
Generic 45% mortality,This disturbance type can be used to simulate a 45% reduction in biomass carbon. The carbon removed from the biomass pool is transferred to the respective DOM pools.
Generic 5% mortality,This disturbance type can be used to simulate a 5% reduction in biomass carbon. The carbon removed from the biomass pool is transferred to the respective DOM pools.
Generic 50% mortality,This disturbance type can be used to simulate a 50% reduction in biomass carbon. The carbon removed from the biomass pool is transferred to the respective DOM pools.
Generic 55% mortality,This disturbance type can be used to simulate a 55% reduction in biomass carbon. The carbon removed from the biomass pool is transferred to the respective DOM pools.
Generic 60% mortality,This disturbance type can be used to simulate a 60% reduction in biomass carbon. The carbon removed from the biomass pool is transferred to the respective DOM pools.
Generic 65% mortality,This disturbance type can be used to simulate a 65% reduction in biomass carbon. The carbon removed from the biomass pool is transferred to the respective DOM pools.
Generic 70% mortality,This disturbance type can be used to simulate a 70% reduction in biomass carbon. The carbon removed from the biomass pool is transferred to the respective DOM pools.
Generic 75% mortality,This disturbance type can be used to simulate a 75% reduction in biomass carbon. The carbon removed from the biomass pool is transferred to the respective DOM pools.
Generic 80% mortality,This disturbance type can be used to simulate a 80% reduction in biomass carbon. The carbon removed from the biomass pool is transferred to the respective DOM pools.
Generic 85% mortality,This disturbance type can be used to simulate a 85% reduction in biomass carbon. The carbon removed from the biomass pool is transferred to the respective DOM pools.
Generic 90% mortality,This disturbance type can be used to simulate a 90% reduction in biomass carbon. The carbon removed from the biomass pool is transferred to the respective DOM pools.
Generic 95% mortality,This disturbance type can be used to simulate a 95% reduction in biomass carbon. The carbon removed from the biomass pool is transferred to the respective DOM pools.
Insect disturbance,Insect infestations resulting in stand mortality.
Insect disturbance with salvage logging,"Applies to areas where an insect infestation has/may occur and is subsequently salvage logged. This sequence of events is assumed to have occurred in the same year. Also, it is assumed that this will remain as ""forestry"" land use."
Mountain pine beetle — Low impact,Low impact (5% softwood mortality)
Mountain pine beetle — Moderate impact,Moderate impact (10% softwood mortality)
Mountain pine beetle — Severe impact,Severe impact (30% softwood mortality)
Mountain pine beetle — Very severe impact,Very severe impact (50% softwood mortality)
Natural nonforest rehabilitation,Natural conversion of land from nonforest to forest. This will not cause immediate C stock changes.
Natural succession,For users who explicitly model natural succession in stands as events. No stock changes are associatied with this disturbance type.
Old default fire,This disturbance type links to the old default fire disturbance matrices (May 2005)
Partial cutting,Partial cutting removes 50% of the merchantable biomass from a stand.
Planting,"Planting (forest management activity, not afforestation!)"
Roads and landings,Temporary road and landing construction
Salvage logging after fire,Salvage logging on areas burned by fire.
Salvage logging after insects,Salvage logging on areas with significant insect mortality. Note that this salvage also involves clearcut of green wood as part of the salvage operation.
Spruce beetle - 20% mortality,Spruce beetle - 20% mortality
Spruce beetle - 30% mortality,Spruce beetle - 30% mortality
Spruce beetle - 5% mortality,Spruce beetle - 5% mortality
Stand–replacing natural succession,Stand–replacing natural succession 1
Unknown,Unknown disturbance type.
Wildfire,Wildfire causing stand mortality.
WJPBW — Year 1 of outbreak,Western jack pine budworm — Year 1 of outbreak
WJPBW — Year 2 of outbreak,Western jack pine budworm — Year 2 of outbreak
WJPBW — Year 3 of outbreak,Western jack pine budworm — Year 3 of outbreak
WJPBW — Year 4 of outbreak,Western jack pine budworm — Year 4 of outbreak
