Name,ID,Color,Legend,Description
Reforestation Grassland: Redwood Group,397,,,
Reforestation Grassland: Other Western Softwood Group,398,,,
Reforestation Grassland: California Mixed Conifer Group,399,,,
Reforestation Grassland: Exotic Softwoods Group,400,,,
Reforestation Grassland: Oak/Pine Group,401,,,
Reforestation Grassland: Oak/Hickory Group,402,,,
Reforestation Grassland: Oak/Gum/Cypress Group,403,,,
Reforestation Grassland: Elm/Ash/Cottonwood Group,404,,,
Reforestation Grassland: Maple/Beech/Birch Group,405,,,
Reforestation Grassland: Aspen/Birch Group,406,,,
Reforestation Grassland: Alder/Maple Group,407,,,
Reforestation Grassland: Western Oak Group,408,,,
Reforestation Grassland: Tanoak/Laurel Group,409,,,
Reforestation Grassland: Other Western Hardwoods Group,410,,,
Reforestation Grassland: Tropical Hardwoods Group,411,,,
Reforestation Grassland: Exotic Hardwoods Group,412,,,
Reforestation Shrubland: White/Red/Jack Pine Group,413,,,
Reforestation Shrubland: Spruce/Fir Group,414,,,
Reforestation Shrubland: Longleaf/Slash Pine Group,415,,,
Reforestation Shrubland: Loblolly/Shortleaf Pine Group,416,,,
Reforestation Shrubland: Pinyon/Juniper Group,417,,,
Reforestation Shrubland: Douglas-fir Group,418,,,
Reforestation Shrubland: Ponderosa Pine Group,419,,,
Reforestation Shrubland: Western White Pine Group,420,,,
Reforestation Shrubland: Fir/Spruce/Mountain Hemlock Group,421,,,
Reforestation Shrubland: Lodgepole Pine Group,422,,,
Reforestation Shrubland: Hemlock/Sitka Spruce Group,423,,,
Reforestation Shrubland: Western Larch Group,424,,,
Reforestation Shrubland: Redwood Group,425,,,
Reforestation Shrubland: Other Western Softwood Group,426,,,
Reforestation Shrubland: California Mixed Conifer Group,427,,,
Reforestation Shrubland: Exotic Softwoods Group,428,,,
Reforestation Shrubland: Oak/Pine Group,429,,,
Reforestation Shrubland: Oak/Hickory Group,430,,,
Reforestation Shrubland: Oak/Gum/Cypress Group,431,,,
Reforestation Shrubland: Elm/Ash/Cottonwood Group,432,,,
Reforestation Shrubland: Maple/Beech/Birch Group,433,,,
Reforestation Shrubland: Aspen/Birch Group,434,,,
Reforestation Shrubland: Alder/Maple Group,435,,,
Reforestation Shrubland: Western Oak Group,436,,,
Reforestation Shrubland: Tanoak/Laurel Group,437,,,
Reforestation Shrubland: Other Western Hardwoods Group,438,,,
Reforestation Shrubland: Tropical Hardwoods Group,439,,,
Reforestation Shrubland: Exotic Hardwoods Group,440,,,
